full_text,case_folding CPMK2,preprocessing CPMK3,final_label,preprocessing,label,confidence
sudah ditahap setiap menit search fish sudah bisa trade atau belum,sudah ditahap setiap menit search fish sudah bisa trade atau belum,tahap menit search trade,positive,tahap menit search trade,,0.43383137775807723
puspadmn ini bukan fish ini fish,puspadmn ini bukan fish ini fish,puspadmn,negative,puspadmn,,0.4116241509474302
roblox dari pagi afk fish barusan login tidak berharap dapet secret tapi minimal mitos lah ternyata samsek tidak dapet bahkan legenda aja cuma biji ternyata pas afk kepencet pake lucky pancingan,roblox dari pagi afk fish barusan login tidak berharap dapet secret tapi minimal mitos lah ternyata samsek tidak dapet bahkan legenda aja cuma biji ternyata pas afk kepencet pake lucky pancingan,roblox pagi away from keyboard barusan login harap secret minimal mitos samsek legenda biji away from keyboard pencet pakai lucky pancing,positive,roblox pagi away from keyboard barusan login harap secret minimal mitos samsek legenda biji away from keyboard pencet pakai lucky pancing,,0.50694164282216
jam segini sudah ngantuk aku belum selesai ngekos fish,jam segini sudah ngantuk aku belum selesai ngekos fish,jam gin ngantuk selesai ngekos,positive,jam gin ngantuk selesai ngekos,,0.44081576995575844
kalau ilang lagi mancing ikan lava fish,kalau ilang lagi mancing ikan lava fish,ilang pancing lava,positive,ilang pancing lava,,0.5157119270534672
guys pleasee skin fish yang merchant itu,guys pleasee skin fish yang merchant itu,pleasee skin merchant,negative,pleasee skin merchant,,0.3896093550472123
sudah istirahatin fish hari sama aja ini dari smlem dapet nya mitos mulu,sudah istirahatin fish hari sama aja ini dari smlem dapet nya mitos mulu,istirahatin smlem mitos,positive,istirahatin smlem mitos,,0.4631759377059034
confessionn_ kalau fish bisa,confessionn_ kalau fish bisa,confessionn,negative,confessionn,,0.4116241509474302
aku tidak akan meninggalkan maps fish sedikitpun temenku mba main horror yuk ayoo,aku tidak akan meninggalkan maps fish sedikitpun temenku mba main horror yuk ayoo,tinggal maps sedikit teman aku mba main horror ayoo,positive,tinggal maps sedikit teman aku mba main horror ayoo,,0.4354891363827496
mlnmlk untung gue nyarinya secret baru fish,mlnmlk untung gue nyarinya secret baru fish,mlnmlk untung nyarinya secret,neutral,mlnmlk untung nyarinya secret,,0.4366404458464849
malem jumat niatnya yasinan terus sbelah gue afk fish allah ridhoilah secret utk aku malem ini,malem jumat niatnya yasinan terus sbelah gue afk fish allah ridhoilah secret utk aku malem ini,malem jumat niat yasinan sbelah away from keyboard allah ridhoilah secret malem,positive,malem jumat niat yasinan sbelah away from keyboard allah ridhoilah secret malem,,0.4022686550394909
billetdouxx fish chiwa maaf pemula,billetdouxx fish chiwa maaf pemula,billetdouxx chiwa maaf mula,negative,billetdouxx chiwa maaf mula,,0.38984251168782036
tergila-gila fish baru main sehari level sudah mau capai aja,tergila-gila fish baru main sehari level sudah mau capai aja,gila gila main hari level capai,negative,gila gila main hari level capai,,0.5972070910227874
donughwa masih mutual tidak sih bang nama gue yang maki .vlaash gue perhatiin abang main fish teruss,donughwa masih mutual tidak sih bang nama gue yang maki .vlaash gue perhatiin abang main fish teruss,donughwa mutual nama maki vlaash perhatiin abang main teruss,positive,donughwa mutual nama maki vlaash perhatiin abang main teruss,,0.4479638170190039
lemonionc aku maen fish ikut2n doang kak tertawa terus seringnya aku diajakin ngekos isle terus tau2 dpt sotong disitu sama ikan2 mitos aku tidak ngeh ada deepsea quest itu tertawa tau2 sisa quest yang belum 100,lemonionc aku maen fish ikut2n doang kak tertawa terus seringnya aku diajakin ngekos isle terus tau2 dpt sotong disitu sama ikan2 mitos aku tidak ngeh ada deepsea quest itu tertawa tau2 sisa quest yang belum 100,lemonionc main tawa diajakin ngekos isle sotong situ ikan mitos ngeh deepsea quest tawa sisa quest,positive,lemonionc main tawa diajakin ngekos isle sotong situ ikan mitos ngeh deepsea quest tawa sisa quest,,0.4018640741969813
jepo akan kembali menjadi rakyat biasa yang nonton drakor pensiun fish https //t.co/ubhmklmwkh,jepo akan kembali menjadi rakyat biasa yang nonton drakor pensiun fish https //t.co/ubhmklmwkh,jepo rakyat nonton drakor pensiun ubhmklmwkh,negative,jepo rakyat nonton drakor pensiun ubhmklmwkh,,0.37964745873476796
ini kayaknya cuma map fish doang fitur chat public tidak boleh dipake buat yapping tertawa https //t.co/zhykyzpgrj,ini kayaknya cuma map fish doang fitur chat public tidak boleh dipake buat yapping tertawa https //t.co/zhykyzpgrj,kayak map fitur chat public dipake yapping tawa zhykyzpgrj,positive,kayak map fitur chat public dipake yapping tawa zhykyzpgrj,,0.4360383984342493
aku kayanya ketinggalan banget fish,aku kayanya ketinggalan banget fish,kaya tinggal,negative,kaya tinggal,,0.4548913147469604
wavetoama tidak tau aku tidak main fish maafij gue,wavetoama tidak tau aku tidak main fish maafij gue,wavetoama main maafij,positive,wavetoama main maafij,,0.4685730039316457
a-aku main fish lagi,a-aku main fish lagi,main,positive,main,,0.4685730039316457
hari hari liat org fish date cuman bagian wenyes ajalh,hari hari liat org fish date cuman bagian wenyes ajalh,lihat orang date wenyes ajalh,negative,lihat orang date wenyes ajalh,,0.47947484624037034
wavetoama secret ancient fish sebenernya dimsum mentai soalnya ada udang,wavetoama secret ancient fish sebenernya dimsum mentai soalnya ada udang,wavetoama secret ancient sebenernya dimsum mentai udang,positive,wavetoama secret ancient sebenernya dimsum mentai udang,,0.43545315929882095
sorrygaaklevel ogaah temen fish gue aja pada make nama clan gitu depan namanya gue kgk mau ikutan disuruh ganti gue juga kgk mau tertawa aneh anjing kalau gue pas masih baru lulus sama sih kyknya masih gue iyain,sorrygaaklevel ogaah temen fish gue aja pada make nama clan gitu depan namanya gue kgk mau ikutan disuruh ganti gue juga kgk mau tertawa aneh anjing kalau gue pas masih baru lulus sama sih kyknya masih gue iyain,sorrygaaklevel ogaah teman make nama clan nama kgk ikut suruh ganti kgk tawa aneh lulus kyknya iyain,negative,sorrygaaklevel ogaah teman make nama clan nama kgk ikut suruh ganti kgk tawa aneh lulus kyknya iyain,,0.41657733855495116
fian_dund2 belum katanya kak baru tau ternyata fish lagi gabisa trade,fian_dund2 belum katanya kak baru tau ternyata fish lagi gabisa trade,fian dund tidak bisa trade,negative,fian dund tidak bisa trade,,0.40820857633832175
dinohamsko dari dcnya fish kak,dinohamsko dari dcnya fish kak,dinohamsko dcnya,negative,dinohamsko dcnya,,0.4116241509474302
bruisedshinyu takut keracunan tapi kalau mau kasih hiu fish aku terima sih aku belum punya hiu,bruisedshinyu takut keracunan tapi kalau mau kasih hiu fish aku terima sih aku belum punya hiu,bruisedshinyu takut racun hiu terima hiu,negative,bruisedshinyu takut racun hiu terima hiu,,0.37829214677391804
playwithmoy sumpah tenggelam sama random minta add fish anjing wait aku terima trus nyusull,playwithmoy sumpah tenggelam sama random minta add fish anjing wait aku terima trus nyusull,playwithmoy sumpah tenggelam random add wait terima trus nyusull,positive,playwithmoy sumpah tenggelam random add wait terima trus nyusull,,0.4385104285269149
veechra talonmidnight kasih dia secret atau aku hancurkan fish,veechra talonmidnight kasih dia secret atau aku hancurkan fish,veechra talonmidnight secret hancur,positive,veechra talonmidnight secret hancur,,0.5414809382830879
guis aku pemula jadi nelayan kalau nyari koin fish gacor dimana,guis aku pemula jadi nelayan kalau nyari koin fish gacor dimana,guis mula nelayan cari koin gacor,positive,guis mula nelayan cari koin gacor,,0.48755641150260143
ngeliat para sepuh fish membuat jiwa iri dengki aku keluar tidak pernah sepengen ini dapett sikriitt https //t.co/g8cz5fgbku,ngeliat para sepuh fish membuat jiwa iri dengki aku keluar tidak pernah sepengen ini dapett sikriitt https //t.co/g8cz5fgbku,ngeliat sepuh jiwa iri dengki ken dapett sikriitt fgbku,negative,ngeliat sepuh jiwa iri dengki ken dapett sikriitt fgbku,,0.5576353376980625
roblox fish katanya sudah fix permanen gabisa trade lagi,roblox fish katanya sudah fix permanen gabisa trade lagi,roblox fix permanen tidak bisa trade,positive,roblox fix permanen tidak bisa trade,,0.4382765924608976
fish uda bisa trade,fish uda bisa trade,trade,positive,trade,,0.4097642030424999
sudah ditahap mimpiin fish https //t.co/uoijzqcmoh,sudah ditahap mimpiin fish https //t.co/uoijzqcmoh,tahap mimpiin uoijzqcmoh,negative,tahap mimpiin uoijzqcmoh,,0.4382927073864336
yang sudah males mancing fish bagi secret dong mau buat meleburkan batu enchant biar bisa double enchant,yang sudah males mancing fish bagi secret dong mau buat meleburkan batu enchant biar bisa double enchant,malas pancing secret lebur batu enchant double enchant,positive,malas pancing secret lebur batu enchant double enchant,,0.5076210027053307
perdana liat friendlist isinya fish semua,perdana liat friendlist isinya fish semua,perdana lihat friendlist isi,negative,perdana lihat friendlist isi,,0.4886690433312974
player fish yang begini tuh hama banget serius sudah tidak modal sok oke pula kalau emg serius main effort bikin private server terus nge-boost server dong bukannya malah marahin player lain server public kocak,player fish yang begini tuh hama banget serius sudah tidak modal sok oke pula kalau emg serius main effort bikin private server terus nge-boost server dong bukannya malah marahin player lain server public kocak,player hama serius modal sok serius main effort private server nge boost server marahin player server public kocak,positive,player hama serius modal sok serius main effort private server nge boost server marahin player server public kocak,,0.46479613419369814
taloon berikan kita secret warghh tiap hari obrolan kita berdua cuma fish doang sama mama bingung https //t.co/wmhyyb8xgu,taloon berikan kita secret warghh tiap hari obrolan kita berdua cuma fish doang sama mama bingung https //t.co/wmhyyb8xgu,taloon secret warghh obrol dua mama bingung wmhyyb xgu,positive,taloon secret warghh obrol dua mama bingung wmhyyb xgu,,0.44289126148912594
roblox sender baru aja mulai main fish tempat yang cocok buat menabung apa,roblox sender baru aja mulai main fish tempat yang cocok buat menabung apa,roblox main cocok tabung,positive,roblox main cocok tabung,,0.5870252551655231
hayuk mutual sering main fish sama kadang juga mendaki kalau ada yang ngajakin https //t.co/hwtmqla1ir,hayuk mutual sering main fish sama kadang juga mendaki kalau ada yang ngajakin https //t.co/hwtmqla1ir,hayuk mutual main kadang daki ngajakin hwtmqla,negative,hayuk mutual main kadang daki ngajakin hwtmqla,,0.4167081103474883
teman-teman fish aku aneh https //t.co/hyew1d1efw,teman-teman fish aku aneh https //t.co/hyew1d1efw,teman teman aneh hyew efw,positive,teman teman aneh hyew efw,,0.4998283927037457
ktemu abang abang diajakin fish bengong dlu,ktemu abang abang diajakin fish bengong dlu,ktemu abang abang diajakin bengong dlu,positive,ktemu abang abang diajakin bengong dlu,,0.47077880169771225
harga boost server fish berapa,harga boost server fish berapa,harga boost server,positive,harga boost server,,0.48608507435451803
flwr_ceci txtfromroblox hahahaha kak semangat bermain fish nya,flwr_ceci txtfromroblox hahahaha kak semangat bermain fish nya,flwr ceci hahahaha semangat main,positive,flwr ceci hahahaha semangat main,,0.43406067639293766
ngatain penggangguran meawhile kamu masi main fish like,ngatain penggangguran meawhile kamu masi main fish like,ngatain penggangguran meawhile mas main like,positive,ngatain penggangguran meawhile mas main like,,0.45085970736104414
roblox fish beneran atau borongan https //t.co/ydf7eezzua,roblox fish beneran atau borongan https //t.co/ydf7eezzua,roblox beneran borong ydf eezzua,positive,roblox beneran borong ydf eezzua,,0.6054953746128391
mancing spot baru fish https //t.co/9qwss1jylf,mancing spot baru fish https //t.co/9qwss1jylf,pancing spot qwss jylf,positive,pancing spot qwss jylf,,0.5444588657538467
aku mancing fish kamu minat join egx https //t.co/zni60p0q7z,aku mancing fish kamu minat join egx https //t.co/zni60p0q7z,pancing minat join egx zni,positive,pancing minat join egx zni,,0.5038766066896272
sudah bisa trade ikan belom fish roblox,sudah bisa trade ikan belom fish roblox,trade roblox,positive,trade roblox,,0.4107531542349933
penasaran sama wujud asli bang ucup ini kenapa dia masih main fish,penasaran sama wujud asli bang ucup ini kenapa dia masih main fish,penasaran wujud asli ucup main,negative,penasaran wujud asli ucup main,,0.40898304134915725
pacarku main roblox tapi gamain banget juga sih sesekali aja dalam minggu atau bulan aku main roblox juga cuman fish akhir-akhir ini aku tinggal afk sambil nonton bareng sama dia food date dan lain hal kalaupun ada waktu kalau dia pengen main pasti,pacarku main roblox tapi gamain banget juga sih sesekali aja dalam minggu atau bulan aku main roblox juga cuman fish akhir-akhir ini aku tinggal afk sambil nonton bareng sama dia food date dan lain hal kalaupun ada waktu kalau dia pengen main pasti,pacar main roblox gamain minggu main roblox tinggal away from keyboard nonton bareng food date ken main,positive,pacar main roblox gamain minggu main roblox tinggal away from keyboard nonton bareng food date ken main,,0.5529818138850994
ini kalau hari ini fish tidak naik apa2 gue akan hiatus fish lagi,ini kalau hari ini fish tidak naik apa2 gue akan hiatus fish lagi,hiatus,negative,hiatus,,0.4116241509474302
mau pensiun fish,mau pensiun fish,pensiun,negative,pensiun,,0.37964745873476796
serius nanya kok bisa orang fish jam,serius nanya kok bisa orang fish jam,serius orang jam,negative,serius orang jam,,0.5941612327565993
numpang lewat warga roblox cabang fish semalem dapet apa aja aku dapet ini https //t.co/cuvssx4mdr,numpang lewat warga roblox cabang fish semalem dapet apa aja aku dapet ini https //t.co/cuvssx4mdr,numpang warga roblox cabang malam cuvssx mdr,positive,numpang warga roblox cabang malam cuvssx mdr,,0.5778691817102188
kittenisasi isayanglainn txtfromroblox maaf kak nanya lagi biar badan nya tidak kebelah bagaimana ini seperti pas masuk map fish kebelah gitu https //t.co/x9u6lndtcc,kittenisasi isayanglainn txtfromroblox maaf kak nanya lagi biar badan nya tidak kebelah bagaimana ini seperti pas masuk map fish kebelah gitu https //t.co/x9u6lndtcc,kittenisasi isayanglainn maaf badan belah masuk map belah lndtcc,positive,kittenisasi isayanglainn maaf badan belah masuk map belah lndtcc,,0.401860841282994
emg god meresahkan kak kalau fish bbrp kali aku senggol perkara chat publik doang sama temen,emg god meresahkan kak kalau fish bbrp kali aku senggol perkara chat publik doang sama temen,god resah bbrp senggol perkara chat publik teman,positive,god resah bbrp senggol perkara chat publik teman,,0.4766719735384687
xzakkyz ini kalau nongkrong fish bukan,xzakkyz ini kalau nongkrong fish bukan,xzakkyz nongkrong,negative,xzakkyz nongkrong,,0.4116241509474302
kenapa orang orang yang stres karena fish itu lucu lucu banget tolong,kenapa orang orang yang stres karena fish itu lucu lucu banget tolong,orang orang stres lucu lucu,negative,orang orang stres lucu lucu,,0.46155657589017596
kapan penyakit gila mancing ini hilang bisa bisanya aku mimpi dapat secret yang pulau baru jungle fish ^__^ pas bangun terus cek afk tadi malah disconnected ternyata indahnya dunia ini,kapan penyakit gila mancing ini hilang bisa bisanya aku mimpi dapat secret yang pulau baru jungle fish ^__^ pas bangun terus cek afk tadi malah disconnected ternyata indahnya dunia ini,sakit gila pancing hilang bisa mimpi secret pulau jungle bangun cek away from keyboard disconnected indah dunia,negative,sakit gila pancing hilang bisa mimpi secret pulau jungle bangun cek away from keyboard disconnected indah dunia,,0.44538039657705
kenapa cari uang fish tidak segampang gag,kenapa cari uang fish tidak segampang gag,cari uang gampang,positive,cari uang gampang,,0.4456983162161858
day dikasihanin main fish https //t.co/pk3sppvltv,day dikasihanin main fish https //t.co/pk3sppvltv,day dikasihanin main sppvltv,positive,day dikasihanin main sppvltv,,0.47974391855135157
saapiiyy kaa pandu aku main fish tolong aku naik pershu butut lost isle mati https //t.co/ppidajzgjr,saapiiyy kaa pandu aku main fish tolong aku naik pershu butut lost isle mati https //t.co/ppidajzgjr,saapiiyy kaa pandu main pershu butut lost isle mati ppidajzgjr,negative,saapiiyy kaa pandu main pershu butut lost isle mati ppidajzgjr,,0.5641327171050262
kok ada sih org maen fish merhatiin chat,kok ada sih org maen fish merhatiin chat,orang main merhatiin chat,negative,orang main merhatiin chat,,0.4986969015158118
roblox yang main fish pake ada yang harga item robloxnya tidak naik katanya kalau pake bikin harga item naik,roblox yang main fish pake ada yang harga item robloxnya tidak naik katanya kalau pake bikin harga item naik,roblox main pakai harga item robloxnya pakai harga item,positive,roblox main pakai harga item robloxnya pakai harga item,,0.4685339571033502
yang penting gue sudah buka temple sekarang gue hiatus main fish dulu,yang penting gue sudah buka temple sekarang gue hiatus main fish dulu,buka temple hiatus main,negative,buka temple hiatus main,,0.41911139769553407
dih spill map kamu jam juga denger fish narik juga sudah tidur,dih spill map kamu jam juga denger fish narik juga sudah tidur,dih spill map jam denger tarik tidur,negative,dih spill map jam denger tarik tidur,,0.4407264695677814
hey fellas new fish adakah yang berteman drop username yach tia roblox,hey fellas new fish adakah yang berteman drop username yach tia roblox,hey fellas new ada teman drop username yach tia roblox,positive,hey fellas new ada teman drop username yach tia roblox,,0.5475308274944477
30k fish seharga 2qt gag anjing rate itu 25k fish itu perbandingannyua 15k gag keknya lupa intinya ratenya mahal banged,30k fish seharga 2qt gag anjing rate itu 25k fish itu perbandingannyua 15k gag keknya lupa intinya ratenya mahal banged,harga rate perbandingannyua kayak lupa inti ratenya mahal banged,negative,harga rate perbandingannyua kayak lupa inti ratenya mahal banged,,0.4829547299921606
roblox fish info spot pancingan encht gacor dong yang sudah nangkep secret baruu aku kok busuk kali mitos pun tak naik,roblox fish info spot pancingan encht gacor dong yang sudah nangkep secret baruu aku kok busuk kali mitos pun tak naik,roblox informasi spot pancing encht gacor nangkep secret busuk mitos,positive,roblox informasi spot pancing encht gacor nangkep secret busuk mitos,,0.5797319980424377
info spot gacor kosan baru fish guys kok busuk kali aku mitos pun tak naik,info spot gacor kosan baru fish guys kok busuk kali aku mitos pun tak naik,informasi spot gacor kosan busuk mitos,positive,informasi spot gacor kosan busuk mitos,,0.5123348812509008
paling lama kemarin main fish https //t.co/f0deh7vaka,paling lama kemarin main fish https //t.co/f0deh7vaka,kemarin main vaka,negative,kemarin main vaka,,0.41619046863017783
saatnya mendalami patch baru fish,saatnya mendalami patch baru fish,dalam patch,negative,dalam patch,,0.4116241509474302
littlechane boleh kak tapi fish masi belum bisa trading,littlechane boleh kak tapi fish masi belum bisa trading,littlechane mas trading,positive,littlechane mas trading,,0.4316165772729014
sumpah lucu lucu banget tapi udhh sangat enggan main fish,sumpah lucu lucu banget tapi udhh sangat enggan main fish,sumpah lucu lucu udhh enggan main,positive,sumpah lucu lucu udhh enggan main,,0.5997815723864299
aku wktu pindah fish culture shock sender murah banget ikannya merintis bnr bnr merintis,aku wktu pindah fish culture shock sender murah banget ikannya merintis bnr bnr merintis,wktu pindah culture shock murah ikan rintis rintis,negative,wktu pindah culture shock murah ikan rintis rintis,,0.4490343617117058
mancing gila bersama geng fish https //t.co/ye0adklgqq,mancing gila bersama geng fish https //t.co/ye0adklgqq,pancing gila geng adklgqq,negative,pancing gila geng adklgqq,,0.5969960243872451
kejadian juga inih main gencin smbl fish,kejadian juga inih main gencin smbl fish,jadi inih main gencin smbl,positive,jadi inih main gencin smbl,,0.4685730039316457
tidak main fish emg itu artinya apa,tidak main fish emg itu artinya apa,main,positive,main,,0.4685730039316457
mang apa serunya fish sudah temen temenku pada kena penyakit gila fish,mang apa serunya fish sudah temen temenku pada kena penyakit gila fish,mang seru teman teman aku sakit gila,negative,mang seru teman teman aku sakit gila,,0.4395279488773872
asdfghjjislove sipp kakk pikirkan baik baik sbelum login fish,asdfghjjislove sipp kakk pikirkan baik baik sbelum login fish,asdfghjjislove sipp pikir sbelum login,negative,asdfghjjislove sipp pikir sbelum login,,0.5398327728466794
asdfghjjislove talon itu pembuat developer fish nya kaakk mereka pada misuh misuh gitu talon karna tidak dapet dapet secrett wkwkwkwk,asdfghjjislove talon itu pembuat developer fish nya kaakk mereka pada misuh misuh gitu talon karna tidak dapet dapet secrett wkwkwkwk,asdfghjjislove talon buat developer kaakk misuh misuh talon secrett wkwkwkwk,negative,asdfghjjislove talon buat developer kaakk misuh misuh talon secrett wkwkwkwk,,0.5512434944222909
sudah bisa trade belom fish,sudah bisa trade belom fish,trade,positive,trade,,0.4097642030424999
astaga gue kebanyakan main fish apa masa mimpi dapet secret kraken lost isle trus pas bangun kecewa banget ternyata cuma mimpi,astaga gue kebanyakan main fish apa masa mimpi dapet secret kraken lost isle trus pas bangun kecewa banget ternyata cuma mimpi,astaga banyak main mimpi secret kraken lost isle trus bangun kecewa mimpi,negative,astaga banyak main mimpi secret kraken lost isle trus bangun kecewa mimpi,,0.507874919515029
ketika kakak pitti ama syall pake nama sama mana mainnya juga fish aku kalau ketemu harus liat usn nya dulu biar tidak salah panggil https //t.co/7bgvqpoxak,ketika kakak pitti ama syall pake nama sama mana mainnya juga fish aku kalau ketemu harus liat usn nya dulu biar tidak salah panggil https //t.co/7bgvqpoxak,pitti ama syall pakai nama main ketemu lihat usn salah panggil bgvqpoxak,positive,pitti ama syall pakai nama main ketemu lihat usn salah panggil bgvqpoxak,,0.4069491923883428
hari rehat fish pas comeback tetep seret najis nyee mitos pun tidak naikk padahal pancingan aku ares dan bobber nya corrupt,hari rehat fish pas comeback tetep seret najis nyee mitos pun tidak naikk padahal pancingan aku ares dan bobber nya corrupt,rehat comeback tetep seret najis nyee mitos naikk pancing ares bobber corrupt,positive,rehat comeback tetep seret najis nyee mitos naikk pancing ares bobber corrupt,,0.49914003803085394
benul aku maen gag dan maen fish juga beneran harus grinding hard buat nyari coin kalau gag kan gampang kayanya yak jadi kurang experience merintisnya waktunya merasakan grinding manual fish tertawa,benul aku maen gag dan maen fish juga beneran harus grinding hard buat nyari coin kalau gag kan gampang kayanya yak jadi kurang experience merintisnya waktunya merasakan grinding manual fish tertawa,benul main main beneran grinding hard cari coin gampang kaya yak experience rintis rasa grinding manual tawa,positive,benul main main beneran grinding hard cari coin gampang kaya yak experience rintis rasa grinding manual tawa,,0.44151683435047234
ini bantukan nongkrong fish jika bisa pake ava tinggi tertawa,ini bantukan nongkrong fish jika bisa pake ava tinggi tertawa,bantu nongkrong pakai ava tawa,negative,bantu nongkrong pakai ava tawa,,0.43787295580601276
sunandicee kalau naik gunung sih betull grafiknya kureng kalau direndahin mana nyedot banyak kuota ngedaki tuh aku mungkin karna seringnya main gag sama fish yang mainnya afk jadi terbiasa rendah grafiknya gpp moga nanti indihome membaik biar mainnya tidak pake kuota lagi,sunandicee kalau naik gunung sih betull grafiknya kureng kalau direndahin mana nyedot banyak kuota ngedaki tuh aku mungkin karna seringnya main gag sama fish yang mainnya afk jadi terbiasa rendah grafiknya gpp moga nanti indihome membaik biar mainnya tidak pake kuota lagi,sunandicee gunung betull grafik reng direndahin nyedot kuota ngedaki main main away from keyboard biasa rendah grafik gpp indihome baik main pakai kuota,positive,sunandicee gunung betull grafik reng direndahin nyedot kuota ngedaki main main away from keyboard biasa rendah grafik gpp indihome baik main pakai kuota,,0.4235411097639135
ini fish belum bisa trade kahh,ini fish belum bisa trade kahh,trade kahh,positive,trade kahh,,0.4097642030424999
mau boost fish,mau boost fish,boost,negative,boost,,0.4116241509474302
kalau sudah sampai kantor waktunya apa fish,kalau sudah sampai kantor waktunya apa fish,kantor,negative,kantor,,0.4928391758952629
pearluvin glavosl hokii tapi agak lama ngaruhnya aku dan aku banyak bolong main fish sih,pearluvin glavosl hokii tapi agak lama ngaruhnya aku dan aku banyak bolong main fish sih,pearluvin glavosl hoki ngaruhnya bolong main,positive,pearluvin glavosl hoki ngaruhnya bolong main,,0.4685730039316457
roblox sender dikatain sebegitunya krn chtt publik fish it️ ini cuma bbrp aslinya dia sudah banyak ngata dari sblumnya serius semengganggu itu gys kalau iya gue gabakal chtt publik lgmksih gys mff kalau sender salah https //t.co/uq4ccwkv2h,roblox sender dikatain sebegitunya krn chtt publik fish it️ ini cuma bbrp aslinya dia sudah banyak ngata dari sblumnya serius semengganggu itu gys kalau iya gue gabakal chtt publik lgmksih gys mff kalau sender salah https //t.co/uq4ccwkv2h,roblox dikatain begitu krn chtt publik bbrp asli ngata sblumnya serius ganggu gys gabakal chtt publik lgmksih gys mff salah ccwkv,positive,roblox dikatain begitu krn chtt publik bbrp asli ngata sblumnya serius ganggu gys gabakal chtt publik lgmksih gys mff salah ccwkv,,0.47994568777260466
banget gue baru hari mancing fish tidak naik2 secret aja sudah mau nyerah,banget gue baru hari mancing fish tidak naik2 secret aja sudah mau nyerah,pancing secret nyerah,positive,pancing secret nyerah,,0.46253139591669856
sekarang apa apa harus check fish duluu tertawa,sekarang apa apa harus check fish duluu tertawa,check duluu tawa,negative,check duluu tawa,,0.4090623233724506
kalian biasa main fish roblox ganti enchant setiap berapa lama akunnya bau gadapet secret,kalian biasa main fish roblox ganti enchant setiap berapa lama akunnya bau gadapet secret,main roblox ganti enchant akun bau gadapet secret,positive,main roblox ganti enchant akun bau gadapet secret,,0.45170268451918005
teori ngancem bakal pensiun fish https //t.co/x40ae6bgb4,teori ngancem bakal pensiun fish https //t.co/x40ae6bgb4,teori ngancem pensiun bgb,negative,teori ngancem pensiun bgb,,0.36798241057015985
apaan sudah tidak ngerti sama fish skrng https //t.co/pabokaguj8,apaan sudah tidak ngerti sama fish skrng https //t.co/pabokaguj8,ngerti skrng pabokaguj,positive,ngerti skrng pabokaguj,,0.40438483153902594
day balik main fish lagi,day balik main fish lagi,day main,positive,day main,,0.4984093554500364
tidak ada ternyata awalnya mancing indo hangout main fisch tapi sepi lalu fish,tidak ada ternyata awalnya mancing indo hangout main fisch tapi sepi lalu fish,pancing indo hangout main fisch sepi,positive,pancing indo hangout main fisch sepi,,0.4889308043719778
guys tuas yang crescent artifact fish itu ada dimana tempatnya aku nyari tidak nemu-nemu t_t dia kalau scan make radar itu warna apa deh,guys tuas yang crescent artifact fish itu ada dimana tempatnya aku nyari tidak nemu-nemu t_t dia kalau scan make radar itu warna apa deh,tuas crescent artifact tempat cari nemu nemu t t scan make radar warna,positive,tuas crescent artifact tempat cari nemu nemu t t scan make radar warna,,0.4095183008803997
orang stres afk fish pake outfitnya evade aku,orang stres afk fish pake outfitnya evade aku,orang stres away from keyboard pakai outfitnya evade,negative,orang stres away from keyboard pakai outfitnya evade,,0.5065466490948194
gue tidak mau main fish lagi sebelum talon balikin fitur trading,gue tidak mau main fish lagi sebelum talon balikin fitur trading,main talon balikin fitur trading,negative,main talon balikin fitur trading,,0.42926713743573525
masih pagi sudah buka laptop menghela nafas login fish,masih pagi sudah buka laptop menghela nafas login fish,pagi buka laptop hela nafas login,negative,pagi buka laptop hela nafas login,,0.455840357442624
masih ambis pengen nyelesaiin milk obby semalem sudah ada kemajuan dari tapi masih panjang lagi orang rainbow aja smpai 182 stages terus main obby tidak bikin panas device seperti fish,masih ambis pengen nyelesaiin milk obby semalem sudah ada kemajuan dari tapi masih panjang lagi orang rainbow aja smpai 182 stages terus main obby tidak bikin panas device seperti fish,ambis ken nyelesaiin milk obby malam maju orang rainbow smpai stages main obby panas device,positive,ambis ken nyelesaiin milk obby malam maju orang rainbow smpai stages main obby panas device,,0.400740468632239
rzukawai ade pengen cobain tapi nanti dulu deh lagi ada open fish xixixixi ayo berteman rosblok onnie,rzukawai ade pengen cobain tapi nanti dulu deh lagi ada open fish xixixixi ayo berteman rosblok onnie,rzukawai ade ken cobain open xixixixi teman rosblok onnie,positive,rzukawai ade ken cobain open xixixixi teman rosblok onnie,,0.44152488166274506
hari ini aku balesin mention titi sama poki lanjutin griting diving mentab yang isinya buah itu fish bentar ngedit,hari ini aku balesin mention titi sama poki lanjutin griting diving mentab yang isinya buah itu fish bentar ngedit,balesin mention titi pok lanjutin griting diving mentab isi buah bentar ngedit,negative,balesin mention titi pok lanjutin griting diving mentab isi buah bentar ngedit,,0.5269653928345671
ini fish sudah bisa trade tidak,ini fish sudah bisa trade tidak,trade,positive,trade,,0.4097642030424999
main fish tidak bang,main fish tidak bang,main,positive,main,,0.4685730039316457
pantesan pake redfinger bisa2nya kepikiran main fish 24jam biar dpt ikan gedee,pantesan pake redfinger bisa2nya kepikiran main fish 24jam biar dpt ikan gedee,pantesan pakai redfinger pikir main jam gedee,negative,pantesan pakai redfinger pikir main jam gedee,,0.5118255796620066
