full_text,case_folding CPMK2,preprocessing CPMK3,label
astaga gue kebanyakan main fish apa masa mimpi dapet secret kraken lost isle trus pas bangun kecewa banget ternyata cuma mimpi,astaga gue kebanyakan main fish apa masa mimpi dapet secret kraken lost isle trus pas bangun kecewa banget ternyata cuma mimpi,astaga banyak main mimpi secret kraken lost isle trus bangun kecewa mimpi,nan
asdfghjjislove map mancing seperti begini yang rame ada dua kakk fish sama fisch kalau fish ini masih bisa afk karna dia ada fitur auto mancingnyaa yang susah mancingnya yang fisch,asdfghjjislove map mancing seperti begini yang rame ada dua kakk fish sama fisch kalau fish ini masih bisa afk karna dia ada fitur auto mancingnyaa yang susah mancingnya yang fisch,asdfghjjislove map pancing ramai fisch away from keyboard fitur auto mancingnyaa susah mancingnya fisch,neutral
yaallah aing cari apa sih fish tapi pengen mancing tapi anjing ipad aing nyala terus,yaallah aing cari apa sih fish tapi pengen mancing tapi anjing ipad aing nyala terus,yaallah aing cari ken pancing ipad aing nyala,negative
asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove masuk psikis,negative
ketika kakak pitti ama syall pake nama sama mana mainnya juga fish aku kalau ketemu harus liat usn nya dulu biar tidak salah panggil https //t.co/7bgvqpoxak,ketika kakak pitti ama syall pake nama sama mana mainnya juga fish aku kalau ketemu harus liat usn nya dulu biar tidak salah panggil https //t.co/7bgvqpoxak,pitti ama syall pakai nama main ketemu lihat usn salah panggil bgvqpoxak,nan
lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,main kantor kerja konyoll gaje musnah orang orang,negative
hari rehat fish pas comeback tetep seret najis nyee mitos pun tidak naikk padahal pancingan aku ares dan bobber nya corrupt,hari rehat fish pas comeback tetep seret najis nyee mitos pun tidak naikk padahal pancingan aku ares dan bobber nya corrupt,rehat comeback tetep seret najis nyee mitos naikk pancing ares bobber corrupt,nan
benul aku maen gag dan maen fish juga beneran harus grinding hard buat nyari coin kalau gag kan gampang kayanya yak jadi kurang experience merintisnya waktunya merasakan grinding manual fish tertawa,benul aku maen gag dan maen fish juga beneran harus grinding hard buat nyari coin kalau gag kan gampang kayanya yak jadi kurang experience merintisnya waktunya merasakan grinding manual fish tertawa,benul main main beneran grinding hard cari coin gampang kaya yak experience rintis rasa grinding manual tawa,nan
ini bantukan nongkrong fish jika bisa pake ava tinggi tertawa,ini bantukan nongkrong fish jika bisa pake ava tinggi tertawa,bantu nongkrong pakai ava tawa,nan
sunandicee kalau naik gunung sih betull grafiknya kureng kalau direndahin mana nyedot banyak kuota ngedaki tuh aku mungkin karna seringnya main gag sama fish yang mainnya afk jadi terbiasa rendah grafiknya gpp moga nanti indihome membaik biar mainnya tidak pake kuota lagi,sunandicee kalau naik gunung sih betull grafiknya kureng kalau direndahin mana nyedot banyak kuota ngedaki tuh aku mungkin karna seringnya main gag sama fish yang mainnya afk jadi terbiasa rendah grafiknya gpp moga nanti indihome membaik biar mainnya tidak pake kuota lagi,sunandicee gunung betull grafik reng direndahin nyedot kuota ngedaki main main away from keyboard biasa rendah grafik gpp indihome baik main pakai kuota,nan
kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,tamat secret tahap gila nang,negative
mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic susah suara tutup sound asli chat publik bebas ngata ngatain tambah dosa gas gunain chat publik,positive
chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe kemaren ngedumelin dosen ngomong bacot bet bangsat peduli pancing alat kelamin,negative
ini fish belum bisa trade kahh,ini fish belum bisa trade kahh,trade kahh,nan
nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,tawa main maps join kenal kenal connect ningkatin friend luck prospecting,positive
mau boost fish,mau boost fish,boost,nan
kalau sudah sampai kantor waktunya apa fish,kalau sudah sampai kantor waktunya apa fish,kantor,nan
uukazai haii aku suka main fish sama kalau kamu,uukazai haii aku suka main fish sama kalau kamu,uukazai hai suka main,positive
pearluvin glavosl hokii tapi agak lama ngaruhnya aku dan aku banyak bolong main fish sih,pearluvin glavosl hokii tapi agak lama ngaruhnya aku dan aku banyak bolong main fish sih,pearluvin glavosl hoki ngaruhnya bolong main,nan
roblox sender dikatain sebegitunya krn chtt publik fish it️ ini cuma bbrp aslinya dia sudah banyak ngata dari sblumnya serius semengganggu itu gys kalau iya gue gabakal chtt publik lgmksih gys mff kalau sender salah https //t.co/uq4ccwkv2h,roblox sender dikatain sebegitunya krn chtt publik fish it️ ini cuma bbrp aslinya dia sudah banyak ngata dari sblumnya serius semengganggu itu gys kalau iya gue gabakal chtt publik lgmksih gys mff kalau sender salah https //t.co/uq4ccwkv2h,roblox dikatain begitu krn chtt publik bbrp asli ngata sblumnya serius ganggu gys gabakal chtt publik lgmksih gys mff salah ccwkv,nan
banget gue baru hari mancing fish tidak naik2 secret aja sudah mau nyerah,banget gue baru hari mancing fish tidak naik2 secret aja sudah mau nyerah,pancing secret nyerah,nan
sekarang apa apa harus check fish duluu tertawa,sekarang apa apa harus check fish duluu tertawa,check duluu tawa,nan
kalian biasa main fish roblox ganti enchant setiap berapa lama akunnya bau gadapet secret,kalian biasa main fish roblox ganti enchant setiap berapa lama akunnya bau gadapet secret,main roblox ganti enchant akun bau gadapet secret,nan
teori ngancem bakal pensiun fish https //t.co/x40ae6bgb4,teori ngancem bakal pensiun fish https //t.co/x40ae6bgb4,teori ngancem pensiun bgb,nan
qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws ngajak seng mumpung kabur ikut sakit gila,negative
biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,kantor buka langsung away from keyboard muak capek burnout,negative
maen fish sampai kebawa mimpi anjing,maen fish sampai kebawa mimpi anjing,main bawa mimpi,negative
apaan sudah tidak ngerti sama fish skrng https //t.co/pabokaguj8,apaan sudah tidak ngerti sama fish skrng https //t.co/pabokaguj8,ngerti skrng pabokaguj,nan
day balik main fish lagi,day balik main fish lagi,day main,nan
tidak ada ternyata awalnya mancing indo hangout main fisch tapi sepi lalu fish,tidak ada ternyata awalnya mancing indo hangout main fisch tapi sepi lalu fish,pancing indo hangout main fisch sepi,nan
ini siapa yang ngajakin aku main fish sih anjing,ini siapa yang ngajakin aku main fish sih anjing,ngajakin main,negative
guys tuas yang crescent artifact fish itu ada dimana tempatnya aku nyari tidak nemu-nemu t_t dia kalau scan make radar itu warna apa deh,guys tuas yang crescent artifact fish itu ada dimana tempatnya aku nyari tidak nemu-nemu t_t dia kalau scan make radar itu warna apa deh,tuas crescent artifact tempat cari nemu nemu t t scan make radar warna,nan
orang stres afk fish pake outfitnya evade aku,orang stres afk fish pake outfitnya evade aku,orang stres away from keyboard pakai outfitnya evade,nan
gue tidak mau main fish lagi sebelum talon balikin fitur trading,gue tidak mau main fish lagi sebelum talon balikin fitur trading,main talon balikin fitur trading,nan
mau afk fish bagaimana anjing selain pake red finger,mau afk fish bagaimana anjing selain pake red finger,away from keyboard pakai red finger,negative
the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabar luas samudra samudra maksud,positive
masih pagi sudah buka laptop menghela nafas login fish,masih pagi sudah buka laptop menghela nafas login fish,pagi buka laptop hela nafas login,nan
xaezzsha aku dari fish pindah gag,xaezzsha aku dari fish pindah gag,xaezzsha pindah,negative
masih ambis pengen nyelesaiin milk obby semalem sudah ada kemajuan dari tapi masih panjang lagi orang rainbow aja smpai 182 stages terus main obby tidak bikin panas device seperti fish,masih ambis pengen nyelesaiin milk obby semalem sudah ada kemajuan dari tapi masih panjang lagi orang rainbow aja smpai 182 stages terus main obby tidak bikin panas device seperti fish,ambis ken nyelesaiin milk obby malam maju orang rainbow smpai stages main obby panas device,nan
rzukawai ade pengen cobain tapi nanti dulu deh lagi ada open fish xixixixi ayo berteman rosblok onnie,rzukawai ade pengen cobain tapi nanti dulu deh lagi ada open fish xixixixi ayo berteman rosblok onnie,rzukawai ade ken cobain open xixixixi teman rosblok onnie,nan
sudah feeling anjing makanya mending mancing fish,sudah feeling anjing makanya mending mancing fish,feeling pancing,positive
cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,ngantuk main terap tar malem cepet tidur,positive
hari ini aku balesin mention titi sama poki lanjutin griting diving mentab yang isinya buah itu fish bentar ngedit,hari ini aku balesin mention titi sama poki lanjutin griting diving mentab yang isinya buah itu fish bentar ngedit,balesin mention titi pok lanjutin griting diving mentab isi buah bentar ngedit,nan
ini fish sudah bisa trade tidak,ini fish sudah bisa trade tidak,trade,nan
nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir muak join isle,negative
main fish tidak bang,main fish tidak bang,main,nan
gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat tagih main apasih pancing woi pancing roblox,neutral
mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem luck luck kaya beda tetep ampas suda lost spark sedih,negative
bye fish mnyet,bye fish mnyet,bye mnyet,negative
roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox bulan main lolos misi gospin caught kutu muak capek penasaran,negative
pantesan pake redfinger bisa2nya kepikiran main fish 24jam biar dpt ikan gedee,pantesan pake redfinger bisa2nya kepikiran main fish 24jam biar dpt ikan gedee,pantesan pakai redfinger pikir main jam gedee,nan
sudah big bone whale albino pula bener-bener seperti musium tertawa tulaangg fish https //t.co/4ryyfyu1gx,sudah big bone whale albino pula bener-bener seperti musium tertawa tulaangg fish https //t.co/4ryyfyu1gx,big bone whale albino bener bener musium tawa tulaangg ryyfyu,nan
roblox tadi sender jam malam kemarin sempat ketiduran wlaupun akun lagi afk terus kebangun tengah malam buka fish malah discord fisherman pas cek discord ternyata lagi ada reboot server free luck dari talon rasanya kit heart banget krn kelewat,roblox tadi sender jam malam kemarin sempat ketiduran wlaupun akun lagi afk terus kebangun tengah malam buka fish malah discord fisherman pas cek discord ternyata lagi ada reboot server free luck dari talon rasanya kit heart banget krn kelewat,roblox jam malam kemarin tidur wlaupun akun away from keyboard bangun malam buka discord fisherman cek discord reboot server free luck talon kit heart krn lewat,nan
chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna kemaren ketemu player posesif kocak pancing ramai ramai teman aku drama yaudah gapapa bahagia dihh,positive
gue jadi percaya chatgpt deh soal fish,gue jadi percaya chatgpt deh soal fish,percaya chatgpt,positive
saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant cocok enchant prismatic gusy,positive
malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu level caught tahap malas harap secret skrng main dar pancing aja,positive
info dong sistem trade fish sudah bisa belom,info dong sistem trade fish sudah bisa belom,informasi sistem trade,nan
isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isi main tanda buka cah mbaww,positive
day akun pindah semua ancient jungle fish https //t.co/gukifvk7js,day akun pindah semua ancient jungle fish https //t.co/gukifvk7js,day akun pindah ancient jungle gukifvk,nan
bulan main fish baru kali ini gue mimpi dapet secret pulau baru,bulan main fish baru kali ini gue mimpi dapet secret pulau baru,main mimpi secret pulau,nan
tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus game belym cobak hmdmds playernya gila,negative
tatapan kosong korban skripsi amp tidak dapet secret fish https //t.co/f2vyhh5ii6,tatapan kosong korban skripsi amp tidak dapet secret fish https //t.co/f2vyhh5ii6,tatap kosong korban skripsi secret vyhh,nan
paksu tahap fish fish mulu ada bucinanmu kah disana sini aku liat wkwkwkwkwkwk,paksu tahap fish fish mulu ada bucinanmu kah disana sini aku liat wkwkwkwkwkwk,paksu tahap bucinanmu sana lihat wkwkwkwkwkwk,nan
kata gue gue seneng main fish karna tidak perlu loncat-loncat lah sekarang mana sudah lama tidak main obby tower masa iya gue tidak akan pernah pulau itu talon adain fitur gendong tolong gitu https //t.co/nk5s9w6kmq,kata gue gue seneng main fish karna tidak perlu loncat-loncat lah sekarang mana sudah lama tidak main obby tower masa iya gue tidak akan pernah pulau itu talon adain fitur gendong tolong gitu https //t.co/nk5s9w6kmq,neng main loncat loncat main obby tower pulau talon fitur gendong kmq,nan
roblox baru hari pertana main fish amp cuma pake midnight pancingan dapet ini bagus tidak sih https //t.co/wkjlah5mze,roblox baru hari pertana main fish amp cuma pake midnight pancingan dapet ini bagus tidak sih https //t.co/wkjlah5mze,roblox pertana main pakai midnight pancing bagus wkjlah mze,nan
roblox sudah bisa trading fish belum,roblox sudah bisa trading fish belum,roblox trading,nan
gmw main fish stres gue,gmw main fish stres gue,gmw main stres,negative
aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,bimbang pink lucu tabung beli bobber nderr ghostfinn tinggal semangat quest jungle rods baik,positive
yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin auto click away from keyboard,positive
minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone sii iyaa ken,positive
ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,kayak bayar listrik rumah naek kaya gara-gara gueh jam main game,negative
lancvelot gue kalau main fish kraken yang nyamperin gue minta dipancing,lancvelot gue kalau main fish kraken yang nyamperin gue minta dipancing,lancvelot main kraken nyamperin pancing,nan
fairolls_ serius apa serunya fish,fairolls_ serius apa serunya fish,fairolls serius seru,nan
gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,bangun away from keyboard secret ancient jungle menit sana deserve etichy wwv,positive
gue spend 900rb fish aja menyesal mana gadapet skinnya,gue spend 900rb fish aja menyesal mana gadapet skinnya,spend sesal gadapet skinnya,negative
temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,teman teman roblox ketemu ava ajarin bully wajar nanem syantik alih nelayan planga plongo lxgjnb,positive
uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong bagus itku busuk talon cinta,negative
dahlah kgk mau login fish dapet hikmahnya doang,dahlah kgk mau login fish dapet hikmahnya doang,dah kgk login hikmah,negative
33uphoria omg alyaa main fish juga gemeshh,33uphoria omg alyaa main fish juga gemeshh,uphoria omg alyaa main gemeshh,nan
tidak suka fish tapi kalau buat nemenin ayang 'll,tidak suka fish tapi kalau buat nemenin ayang 'll,suka nemenin ayang,nan
seoigne lulusan fish soalnya,seoigne lulusan fish soalnya,seoigne lulus,nan
notyourjerk adaa dcnyaa fish kakk,notyourjerk adaa dcnyaa fish kakk,notyourjerk adaa dcnyaa,nan
kenapa hari hari fish itu lucu,kenapa hari hari fish itu lucu,lucu,positive
pusing mantengin fish pas luck epic aja dapet woy apalagi mitos amp sikritny,pusing mantengin fish pas luck epic aja dapet woy apalagi mitos amp sikritny,pusing mantengin luck epic woy mitos sikritny,nan
gue sudah tahap iri banget sama orng dapet secret fish https //t.co/brfbjuyvja,gue sudah tahap iri banget sama orng dapet secret fish https //t.co/brfbjuyvja,tahap iri orng secret brfbjuyvja,nan
minjul fish kita beda server kayaknya punyaku sudah penuh kemungkinan kamu masih mancing,minjul fish kita beda server kayaknya punyaku sudah penuh kemungkinan kamu masih mancing,minjul beda server kayak punya penuh pancing,nan
txtfromroblox gue belum sih cuman emang jarang main bukannya bosan atau bagaimana cuman kesel aja tidak pernah dapat yang bagus mau itu seed atau pet terus juga connection rata-rata sudah pada tidak main gag kebanyakan pindah fish terus keselnya lagi inflasi parah,txtfromroblox gue belum sih cuman emang jarang main bukannya bosan atau bagaimana cuman kesel aja tidak pernah dapat yang bagus mau itu seed atau pet terus juga connection rata-rata sudah pada tidak main gag kebanyakan pindah fish terus keselnya lagi inflasi parah,jarang main bosan kesel bagus seed pet connection main banyak pindah kesel inflasi parah,nan
datgurldin fish itu mancing,datgurldin fish itu mancing,datgurldin pancing,nan
cara cepat kaya fish,cara cepat kaya fish,cepat kaya,nan
gue pamerin semua player yang ada fish harus tau kalau aku dapet hiu lava mutasi,gue pamerin semua player yang ada fish harus tau kalau aku dapet hiu lava mutasi,pamerin player hiu lava mutasi,nan
txtfromroblox tmenku fish smua sama,txtfromroblox tmenku fish smua sama,tmenku smua,nan
seru banget update fish sekarang tolong secret kamu harus naik,seru banget update fish sekarang tolong secret kamu harus naik,seru update secret,positive
ketagihan beli fish pake gift game sudah anjing,ketagihan beli fish pake gift game sudah anjing,tagih beli pakai gift game,negative
sudah paling bener harusnya gue tidak nyoba main fish,sudah paling bener harusnya gue tidak nyoba main fish,bener coba main,negative
deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn hubung paper selesai,positive
nyerah banget aku main fish bye talon,nyerah banget aku main fish bye talon,nyerah main bye talon,negative
jujur sudah muak fish,jujur sudah muak fish,jujur muak,negative
gue isinya fish mulu,gue isinya fish mulu,isi,nan
saatnya afkin fish,saatnya afkin fish,afkin,positive
crowdeld inisial fish,crowdeld inisial fish,crowdeld inisial,nan
nabbyva penghuni asli fish nab liat aja itu levelnya 828 https //t.co/34zdisdl3z,nabbyva penghuni asli fish nab liat aja itu levelnya 828 https //t.co/34zdisdl3z,nabbyva huni asli nab lihat level zdisdl,nan
gue mulai merasa lelah fish,gue mulai merasa lelah fish,lelah,negative
nnt kalau aku uda pindah kos kita main roblok tiap hari gusyy ayo kita smsm afk fish sampai nemu secret tempat baru ayo main sampai level 100 ayo main indo hangout/pulau indo/relapse/idv mencari drama rosblok lagii love smsmsmsmsmsmsmsmm gusy️ https //t.co/rve1s01zdp,nnt kalau aku uda pindah kos kita main roblok tiap hari gusyy ayo kita smsm afk fish sampai nemu secret tempat baru ayo main sampai level 100 ayo main indo hangout/pulau indo/relapse/idv mencari drama rosblok lagii love smsmsmsmsmsmsmsmm gusy️ https //t.co/rve1s01zdp,nnt pindah kos main roblok gusyy smsm away from keyboard nemu secret main level main indo hangout pulau indo relapse idv cari drama rosblok lagi love smsmsmsmsmsmsmsmm gusy rve zdp,nan
diwaskr nanjak dontol fish burik gag juga burik,diwaskr nanjak dontol fish burik gag juga burik,diwaskr nanjak dontol burik burik,nan
gue setelah kenal fish https //t.co/qua6qhjkfx,gue setelah kenal fish https //t.co/qua6qhjkfx,kenal qua qhjkfx,nan
muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger kesel tinggal pancing,negative
sblm cowoku bilang penyakit gila mancing aka fish gwe sudah gila duluan bjirr,sblm cowoku bilang penyakit gila mancing aka fish gwe sudah gila duluan bjirr,sblm cowoku bilang sakit gila pancing aka gwe gila duluan bjirr,nan
mau nyoba main fish tolong jangan bully kalau ketemu,mau nyoba main fish tolong jangan bully kalau ketemu,coba main bully ketemu,nan
deeyzwn jawabannya sudah jelas main fish,deeyzwn jawabannya sudah jelas main fish,deeyzwn jawab main,nan
sumpah dari lama pengen nguping pembicaraan orang roblox tidak pernah ketemu trus ketemu dong yang curhat soal hts-an fish sambil mancing sambil dengar curhatan orang,sumpah dari lama pengen nguping pembicaraan orang roblox tidak pernah ketemu trus ketemu dong yang curhat soal hts-an fish sambil mancing sambil dengar curhatan orang,sumpah ken nguping bicara orang roblox ketemu trus ketemu curhat hts pancing dengar curhatan orang,nan
deeyzwn main fish lah jelas,deeyzwn main fish lah jelas,deeyzwn main,positive
gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret huhuhu talon njir update map smobkeq,positive
temenku rumah cuma numpang buka laptop untuk afk fish apa maksud,temenku rumah cuma numpang buka laptop untuk afk fish apa maksud,teman aku rumah numpang buka laptop away from keyboard maksud,nan
nunawwp itu update pulau baru fish,nunawwp itu update pulau baru fish,nunawwp update pulau,nan
semua server fish boost kah,semua server fish boost kah,server boost,nan
fish update tapi semangat gue mengunjungi map itu kgk ada,fish update tapi semangat gue mengunjungi map itu kgk ada,update semangat unjung map kgk,nan
adaa yang tauu kah sampai kapan fitur trade fish disabled,adaa yang tauu kah sampai kapan fitur trade fish disabled,adaa tauu fitur trade disabled,nan
americanagers bocah fish,americanagers bocah fish,americanagers bocah,nan
gweh sudah muak dengerin cowo gue ceritain fish mulu,gweh sudah muak dengerin cowo gue ceritain fish mulu,gweh muak dengerin cowo ceritain,nan
tadi aku afk fish isle aku tinggal les pas balik sudah dapet secret aku teori les,tadi aku afk fish isle aku tinggal les pas balik sudah dapet secret aku teori les,away from keyboard isle tinggal les secret teori les,nan
fish anjing,fish anjing,,nan
memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,panggil nelayan mutual roblox drop username robloxnya add,positive
tolong berilah kita sikritt fish,tolong berilah kita sikritt fish,ilah sikritt,nan
fish gue keluar terus skrh loading lama tidak masuk2 anjim,fish gue keluar terus skrh loading lama tidak masuk2 anjim,skrh loading masuk anjim,nan
sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,malem boboo apaa yapp away from keyboard talon please nice love,neutral
sungchan mancing keknya fomo ngeliat gue main fish mulu,sungchan mancing keknya fomo ngeliat gue main fish mulu,sungchan pancing kayak fomo ngeliat main,nan
gue fish sama rt3 anjirt wowwowk lagi misi membuat resto,gue fish sama rt3 anjirt wowwowk lagi misi membuat resto,anjirt wowwowk misi resto,nan
connections roblox aku isinya main fish semua‍‍,connections roblox aku isinya main fish semua‍‍,connections roblox isi main,nan
jangankan buaya fish https //t.co/ibt405ldce,jangankan buaya fish https //t.co/ibt405ldce,buaya ibt ldce,nan
saya berjanji tidak akan bermain fish selama minggu kalau dapat secret patung dan mendapatkan ghostfin https //t.co/wgked3rewa,saya berjanji tidak akan bermain fish selama minggu kalau dapat secret patung dan mendapatkan ghostfin https //t.co/wgked3rewa,janji main minggu secret patung ghostfin wgked rewa,nan
besideyeo pulau baru fish tertawa,besideyeo pulau baru fish tertawa,besideyeo pulau tawa,nan
petrrichors sekaligus berdiskusi meja bundar soal fish ini,petrrichors sekaligus berdiskusi meja bundar soal fish ini,petrrichors diskus meja bundar,nan
jujur kangen main rosblok yang bareng temen-temen pokoknya yang bareng-bareng sekarang login fish itupun gue tinggal gawe kalau mood main evade itupun dewekan kangen tapi uing juga lost interest everything,jujur kangen main rosblok yang bareng temen-temen pokoknya yang bareng-bareng sekarang login fish itupun gue tinggal gawe kalau mood main evade itupun dewekan kangen tapi uing juga lost interest everything,jujur kangen main rosblok bareng teman teman pokok bareng bareng login itu tinggal gawe mood main evade itu dewe kangen uing lost interest everything,nan
sejujurnya aku sudah muak mancing fish mksh https //t.co/1jmoft2mee,sejujurnya aku sudah muak mancing fish mksh https //t.co/1jmoft2mee,jujur muak pancing mksh jmoft mee,nan
fish aku berniat diemin akun buat beberapa hari sudah seminggu seret banget woii ikan mitos aja tidak naik kelen istirahat mancing berapa hari guys roblox,fish aku berniat diemin akun buat beberapa hari sudah seminggu seret banget woii ikan mitos aja tidak naik kelen istirahat mancing berapa hari guys roblox,niat diemin akun minggu seret woii mitos kelen istirahat pancing roblox,nan
bleh tidak sih slow living fish tidak ngikutin update talon,bleh tidak sih slow living fish tidak ngikutin update talon,bleh slow living ngikutin update talon,nan
textdaricrispy ini fish update terbaru rtx bang,textdaricrispy ini fish update terbaru rtx bang,textdaricrispy update baru rtx,nan
nabbyva nabby main fish jugaa,nabbyva nabby main fish jugaa,nabbyva nabby main jugaa,nan
kenapa fish bikin ngantuk jadi males main,kenapa fish bikin ngantuk jadi males main,ngantuk malas main,nan
dia ini lagi memperagakan fish real life kah,dia ini lagi memperagakan fish real life kah,aga real life,nan
udingravitasi allah fish,udingravitasi allah fish,udingravitasi allah,nan
muak kali main fish,muak kali main fish,muak main,nan
bang ayo aku sudah login fish ayo kita mancing date akumaksa blublublublub,bang ayo aku sudah login fish ayo kita mancing date akumaksa blublublublub,login pancing date akumaksa blublublublub,nan
