content,score,app,content_clean
mantap,5,gopay,bagus
Gini amat,2,gopay,gin
Aplikasi Gopay ini bagus memudahkan dalam melakukan transaksi online,5,gopay,bagus mudah laku transaksi online
"mantap, cepat , dan aman",5,gopay,bagus cepat aman
duit hilang hampir 1 juta,1,gopay,uang hilang hampir juta
"cepat, bagus",5,gopay,cepat bagus
proses cepat anti lemot dan sangat membantu,5,gopay,proses cepat anti lot sangat bantu
mntappp,5,gopay,bagus
walaupun Boru coba kasih bintang 5,5,gopay,walaupun boru coba kasih bintang
mudah,5,gopay,mudah
keren,5,gopay,keren
ok recommended banget,5,gopay,recommended banget
good,5,gopay,good
"saya suka aplikasi ini,,penggunaan mudah,transfer,tari tunai mudah sekali tanpa ribet,sukses selalu",5,gopay,suka inipenggunaan mudahtransfertari tunai mudah sekali ribetsukses selalu
"Sempet mau jadiin gopay sebagai satu2 nya ewalet yg dipakai sehari2, tapi hampir 2bulan ini jarang dipake, males sudah mencoba aktifkan gopay paylater/ gopay pinjam nya gagal trus, padahal siapa tau bermanfaat kalau ada kebutuhan mendadak.. Tapi gak apa2 ditolak disini, diaplikasi sebelah sekali daftar dikasih limit, meskipun tidak banyak tapi nge bantu banget disaat keadaan darurat..",1,gopay,sempet jadiin satu ewalet pakai hari hampir bulan jarang dipake males coba aktif paylater pinjam gagal manfaat kalau butuh dadak tolak sini aplikasi belah sekali daftar kasih limit meski banyak bantu banget saat ada darurat
hp tereset otomatis data gopay hilang kebetulaan wa dan nomer hp yg terdaftar di gopay semua hilang mau masuk lagi sudah tidak bisa karena minta kode dan email sepertinya blm saya kaitkan mohon pencerahannya gopay,5,gopay,tereset otomatis data hilang kebetulaan nomor daftar semua hilang masuk minta kode email seperti kait mohon cerah
mantabz,5,gopay,mantabz
mantap,5,gopay,bagus
coba aja,5,gopay,coba
sangat membantu,4,gopay,sangat bantu
punya Gopay pinjam belanja lebih murah puas banget saya suka selalu dapat voucher mskih,5,gopay,punya pinjam belanja lebih murah puas banget suka selalu voucher mskih
gopay the best,5,gopay,best
mudah dan praktis,5,gopay,mudah praktis
good,5,gopay,good
mantap,5,gopay,bagus
ok,5,gopay,
"programnya menarik, banyak pilihan dan semoga tingkat keamanannya mumpuni.",5,gopay,program tarik banyak pilih moga tingkat aman mumpuni
aplikasi ini sangat bagus aku suka banget,5,gopay,sangat bagus suka banget
Istirahatnya terlalu lama,1,gopay,istirahat terlalu lama
good,5,gopay,good
simpel gampang enak,5,gopay,simpel gampang enak
"saya suka apk gopay inii,sangat membantu transaksi lebih cepat,promo diamond dalam game,pokoknya the best 💯",5,gopay,suka iniisangat bantu transaksi lebih cepatpromo diamond gamepokoknya best
bagus cuy,5,gopay,bagus
terimakasih karena gopay selalu memberi kemudahan dalam transaksi,5,gopay,terimakasih selalu beri mudah transaksi
bagus,5,gopay,bagus
saya sudah top up tapi saldonya gak bertambah padahl sudah tunggu seharian,1,gopay,saldo tambah padahl tunggu hari
gopay top markotop,5,gopay,markotop
mantap,5,gopay,bagus
ok,5,gopay,
sangat membantu bgtt,5,gopay,sangat bantu banget
terimakasih,5,gopay,terimakasih
layanan xtra cepat,5,gopay,layan xtra cepat
"JANGAN PAKE GOPAY, GOPAY SANGAT JELK GA BISA TRANSAKSI",1,gopay,jangan pakai sangat jelk transaksi
kasih bintang 3 ajh..pinjaman nya kga bisa,3,gopay,kasih bintang ajhpinjaman
lebih bagus dari yang sebelah. cuman keamanan tingkat kan lagi,4,gopay,lebih bagus belah cuman aman tingkat
Bagus,5,gopay,bagus
saya kasih 🌟 5 biar orang lain bisa baca...saya penguna gopay termasuk paling lama...tapi pas aktif kan pinjaman slalu gagal...data2 semua udah lengkap...tetap gagal...tuk apa ada kan pinjaman KLO gak ada di setujui...pengajuan dari BPKB motor tetap gak bisa slalu di tolak...payah,5,gopay,kasih biar orang bacasaya penguna masuk paling lamatapi aktif pinjam slalu gagaldata semua lengkaptetap gagaltuk pinjam setujuipengajuan buku milik kendara motor motor tetap slalu tolakpayah
ribet amat mau lihat riwayat keluar masuk nya harus scrol scrol ke bawah...,1,gopay,rumit lihat riwayat keluar masuk scrol scrol bawah
tolong saya tidak bisa melakukan transaksi di gopay karena aktivitas tidak wajar tolong saya,1,gopay,laku transaksi aktivitas wajar
klo bisa tambahin fitur emas digital kaya dana,5,gopay,tambahin fitur emas digital kaya
mantap,5,gopay,bagus
baik,5,gopay,baik
baru menggunakan,3,gopay,baru
"jangan pernah kalian simpan uang di aplikasi ini, karna aplikasi ini bermasalah, akun gopay akan tiba2 ke blokir dan uang kalian akan hangus didalam nya, uang kalian tidak akan bisa di ambil lagi, gw kasi bintang lima biar komen gw ada diatas",5,gopay,jangan pernah kalian simpan uang masalah akun tiba blokir uang kalian hangus dalam uang kalian ambil kasi bintang lima biar komen atas
bagus gk kayak apl sebelah,5,gopay,bagus kayak belah
kok saat di Redeem giftcard roblox invalid?padahal udh ke beli,1,gopay,redeem giftcard roblox invalidpadahal beli
mantap,5,gopay,bagus
baik bngettt,5,gopay,baik bnget
sangat baik dan membantu terimakasih,4,gopay,sangat baik bantu terimakasih
banguss,5,gopay,bangus
rodok wagu tapi rapopo,5,gopay,rodok wagu rapopo
sangat membantu dan aman dalam bertransaksi di GOPAY by GO-JEK,5,gopay,sangat bantu aman transaksi gojek
sangat bagus,1,gopay,sangat bagus
no hp saya hilang dan tidak aktif sudah berbagai cara untuk login tta tidak bisa,3,gopay,hilang aktif bagai cara login
baik bagus terbaik,5,gopay,baik bagus baik
ok,5,gopay,
mantap,5,gopay,bagus
good,5,gopay,good
transaksi mantafff,5,gopay,transaksi bagus
terimakasih banyak sya suka dg aplikasi ini,5,gopay,terimakasih banyak suka
sangat bagus aplikasinya,5,gopay,sangat bagus aplikasi
ok okok,5,gopay,okok
"apalah ada voucher wdo 1 Rp,belum tak tukerin wes gak bisa dipakai,katanya,kuota voucher habis,padahal belum ku pakai,kembalikan voucher ku wok",3,gopay,apa voucher rpbelum tukerin dipakaikatanyakuota voucher habispadahal pakaikembalikan voucher
aplikasi mudah dan tidak ribet,5,gopay,mudah rumit
Beneran baru tau sskarang di Gopay ada gamenya juga 😍,5,gopay,beneran baru sskarang gamenya
saya kehilangan uang sekitar 162.000 untuk top up tapi robaxnya tidak masuk atau erorr kembalikan uang saya yg hilang atau kasih saya robax sekitar 800,1,gopay,hilang uang robaxnya masuk error kembali uang hilang kasih robax
sangat membantu sekali aplikasi gopay,4,gopay,sangat bantu sekali
👍👍👍👍👍👍👍👍,5,gopay,
mantao,5,gopay,mantao
mantappppp,5,gopay,bagus
ok bagus,5,gopay,bagus
"saat saya ingin belanja pakai qris sudah masukkan pin, memang benar ke transfer ke orangnya tapi langsung kebeli langganan gojek+ walau saya ada uang di gopaynya alhasil langsung kebeli paldahal saya tidak mau membelinya, tolong buat gopay untuk membalas ini ya",1,gopay,belanja pakai qris masuk memang benar transfer orang cepat kebel langgan gojek uang gopaynya hasil cepat kebel paldahal bel buat balas
top up top,5,gopay,
gopay keren,5,gopay,keren
ok,5,gopay,
dengan ada ya apk gopay jdi mudah top aup ga ribet,5,gopay,mudah rumit
sangat membantu dan transaksi yang cepat,5,gopay,sangat bantu transaksi cepat
mohon pihak gopay ini aku top up code redem tapi code gift cards nya gaada pls aku habis banyak duit pls pihak gopay yang terhormat apakah bug ini bisa di perbaiki dan juga aku telah kehilangan duit warna merah . aku juga tidak bisa mengulang lihat code nya . kurang menjawab ulasan laporan pengguna .tidak merespon. salam,1,gopay,mohon pihak code redem code gift cards habis banyak uang pihak hormat baik hilang uang warna merah ulang lihat code kurang jawab ulas lapor guna merespon salam
aplikasi yang memudahkan transaksi all,5,gopay,mudah transaksi
bagus banget,5,gopay,bagus banget
ini gopay gimana sih aku mau ke gopay plus gak bisa padahal udah punya e-ktp saya coba 5 kali gagal terus tolong diperbaiki gopay,1,gopay,plus punya ektp coba sering gagal terus baik
i like gopay ❤️❤️❤️,5,gopay,like
"biaya admin gratis/murah, bisa top up game atau pulsa dalam app dan top up game ada event 1 rupiah, mudah buat dipakai memberi likes:v",5,gopay,biaya admin gratismurah game pulsa game event rupiah mudah buat pakai beri likesv
sangat mudah di gunakan buat transaksi yang aman 👍👍,5,gopay,sangat mudah guna buat transaksi aman
mantap dh,5,gopay,bagus
apk yg sngat berguna tapi jadiin gopay coins jdi transaksi pembayar qris lebih mantap,5,gopay,sngat guna jadiin coins transaksi bayar qris lebih bagus
bagus bgt,5,gopay,bagus banget
ini kenapa tidak bisa membayar pakai gopay koin yah padahal beberapa bulan yg lalu bisa tapi sekarang kok tidak bisa ini bug atau memang ketentuannya tolong dong kalau memang ini bug di fix lah masa udah terkumpul gopay koin sebanyak itu malah gak bisa bayar pakai gopay koin diberbagai aplikasi tolonglah gopay.... padahal dulunya bisa kenapa sekarang gak bisa....,1,gopay,bayar pakai koin bulan sekarang memang tentu kalau memang masa kumpul koin banyak malah bayar pakai koin bagai tolong sekarang
oke,5,gopay,
sumpah ya ribet banget pdahal udah verif diawal pas mau TF harus verif dan nunggu 24 jam DIKIRA GA URGENT??KALO GA GABAKALN KLI PAKE APK GA JELAS INI RIBET.,1,gopay,sumpah rumit banget pdahal verif awal verif tunggu kira urgentkalo gabakaln pakai jelas rumit
bagus,5,gopay,bagus
sangat membantu,5,gopay,sangat bantu
❤️❤️❤️❤️,5,gopay,
bagusss banget Aplikasi nya,5,gopay,bagus banget
"suka, pembayaran cepat",5,gopay,suka bayar cepat
"terus error transfer dan top up via eWALLET DANA, bisa diperbaiki?",1,gopay,terus error transfer ewallet baik
mantap,5,gopay,bagus
bagus,5,gopay,bagus
bagus banget aman dari penipu transaksinya cepat makasih go-pay,5,gopay,bagus banget aman tipu transaksi cepat makasih
bagus bngt sih tapi ga ada event gratis,5,gopay,bagus bngt event gratis
sangat bagus,5,gopay,sangat bagus
alhamdulillah,5,gopay,alhamdulillah
"apalah sini mau beli paket tanggo malah gk bisa, lagian ngapa kuota tanggo axisnet yang kuota utama nya harus bayar pake gopay sih ribet banget dari tadi malam gk bisa, mendingan pake dana sat set",3,gopay,apa beli paket tanggo malah lagi ngapa kuota tanggo axisnet kuota utama bayar pakai rumit banget tadi malam mending pakai
"ᑕOIᑎ ᗷIՏᗩ ᗪᗴᑎᘜᗩᑎ ᑭᑌᒪՏᗩ, KITᗩ KᑌᗰᑭᑌᒪIᑎ ᗩᒍᗩ Yᑎᘜ ᗷᗩᑎYᗩK. ᗷIᗩᖇ ᑭᑌᒪՏᗩ ᑎYᗩ ᗩTᗩᑌ ᗩᗪᗩ. ᗰᗩKᗩՏIᕼ ᘜO ᑭᗩY",5,gopay,
driver sering ditawarin pinjam jaminan BPKB bukan pinjol tapi sy tdk pernah di-ACC KL takut driver g bisa byr g usah nawarin pinjaman jaminan BPKB 👎,1,gopay,driver sering ditawarin pinjam jamin buku milik kendara motor bukan pinjol pernah diac takut driver usah nawarin pinjam jamin buku milik kendara motor
transferan saya belum masuk juga kaka sudah 3hari ini bagai mana belum.masuk saldo saya tranferan dari teman tanggal 22 desember sudah sukses bagaimana pertanggung jawabnya,2,gopay,transfer masuk kaka hari bagai belummasuk saldo tranferan teman tanggal desember sukses tanggung jawab
cepat prosesnya,5,gopay,cepat proses
bagus banget,5,gopay,bagus banget
sangat bagus n membantu bngt,5,gopay,sangat bagus bantu bngt
bagus,5,gopay,bagus
sangat memuaskan pelayanan ya cepat dan mudah,5,gopay,sangat puas layan cepat mudah
nyaman dan sukses,5,gopay,aman sukses
sangat bagus sekali,5,gopay,sangat bagus sekali
mantap Uda itu aja شكرًا لك,5,gopay,bagus
mantap,5,gopay,bagus
bagus banget..,5,gopay,bagus banget
bintag 5 apk nya keren dan mumudah kan kita mantap dah poko nya,5,gopay,bintag keren mudah bagus poko
ok,5,gopay,
mantap,5,gopay,bagus
kenapa waktu aku top Up in danaku tidak masuk masuk kembalikan uang ku,1,gopay,waktu dana masuk masuk kembali uang
puas....,5,gopay,puas
baru.... jadi semoga ini mudah dan memudahkan,5,gopay,baru jadi moga mudah mudah
bagus,4,gopay,bagus
bagus,5,gopay,bagus
"jelek bnget 2 hari ini mau tf aja susah bnget, loading mulu, padahal signal lancar, apk lain lancar.",1,gopay,jelek bnget hari susah bnget load mulu signal lancar lancar
murah topup,5,gopay,murah
oke,4,gopay,
bagus sekali bisa menjaga,5,gopay,bagus sekali jaga
sangat mudah prosesnya,5,gopay,sangat mudah proses
oky,5,gopay,
baik,4,gopay,baik
sangat puas bersama gopay,5,gopay,sangat puas sama
kereeeen,4,gopay,bagus
lumayan lah...,3,gopay,lumayan
mantap,5,gopay,bagus
"bintang 3 aja dulu apk nya bagus tapi setiap mau transaksi selalu muncul ""gak bisa lanjutin transaksi ini, kami mendeteksi akitivitas yang tidak wajar"" tolong di benerin dong",3,gopay,bintang bagus transaksi selalu muncul lanjutin transaksi deteksi akitivitas wajar benerin
koin banyak,5,gopay,koin banyak
gopay later saya di blokir tanpa alasan yang jelas,1,gopay,later blokir alas jelas
sangat bermanfaat,5,gopay,sangat manfaat
"mudah,..aman, asik😱😂☕",5,gopay,mudah aman asik
sangan puas,5,gopay,sangan puas
ok,5,gopay,
bagus banget,5,gopay,bagus banget
banyak bantu ku,5,gopay,banyak bantu
good,5,gopay,good
mantap,5,gopay,bagus
mantappp,5,gopay,bagus
sangat membantu..terimakasih my gopay..,5,gopay,sangat membantuterimakasih
sngt bgus,5,gopay,sngt bagus
gopay asuu,1,gopay,
sangat baik,5,gopay,sangat baik
sangat bagus,5,gopay,sangat bagus
ok,5,gopay,
bagus,5,gopay,bagus
Bagus sekali APL ini,5,gopay,bagus sekali
oke banget,5,gopay,banget
sangat bagus transaksi bagus nga ribet semuanya serba mudah,5,gopay,sangat bagus transaksi bagus rumit semua serba mudah
"mantap ,sangat membantu",5,gopay,bagus sangat bantu
bagus,5,gopay,bagus
awesome,5,gopay,awesome
"aku udah make apk ini dari lama, jdi udh pasti bagus, transaksi lancar, gak eror, jos deh",5,gopay,make lama bagus transaksi lancar error
beli data 1 giga 1 rupiah saja👍,5,gopay,beli data giga rupiah
kopay tidak berguna,1,gopay,kopay guna
sangat bagus,5,gopay,sangat bagus
KOCAK GANGGU IKLAN LU,1,gopay,kocak ganggu iklan
aplikasi dompet digital terpraktis,5,gopay,dompet digital praktis
Apk keren...,5,gopay,keren
"sejauh ini, trusted banget",5,gopay,jauh trusted banget
ok mantap,5,gopay,bagus
ok,5,gopay,
pelayanan nya siiip,5,gopay,layan siiip
"puas dgn apk gopay ,tapi hanya 1 yg kurang puas ,saat urusan finensial ,sya belum dpt payleter dan pinjaman nya sekian",5,gopay,puas kurang puas urus finensial payleter pinjam sekian
mudah di gunakan,5,gopay,mudah guna
sangat bagus dan terjangkau,5,gopay,sangat bagus jangkau
aneh saya tidak bisa download aplikasi gopay,1,gopay,aneh download
ok top,5,gopay,
suka dngan gopay lbih murah,5,gopay,suka dngan lbih murah
sangat bagus,5,gopay,sangat bagus
"jelek, asal saya mau Qris selalu keluar sendiri",1,gopay,jelek asal qris selalu keluar sendiri
bagus dan mudah simpel juga tapi knp selalu tidak bisa pakai pasti ada gangguan,4,gopay,bagus mudah simpel selalu pakai ganggu
good,5,gopay,good
muantap,5,gopay,muantap
"akun Saya sudah gopay plus sudah versi terbaru, tetep gak bisa transfer katanya gak ada masalah tapi kenapa tetap gak bisa??????",1,gopay,akun plus versi baru transfer kata masalah tetap
sangat puas sekali,5,gopay,sangat puas sekali
bagus,2,gopay,bagus
mudah bagi pemula sepertiku,4,gopay,mudah mula seperti
go pay Oke bangett,5,gopay,banget
mudah pengunaannya dan bisa untuk pembiayaan lainnya dg mudah,5,gopay,mudah pengunaannya biaya lain mudah
sangat baik,5,gopay,sangat baik
ternyata aplikasinya gak ribet bagus,5,gopay,nyata aplikasi rumit bagus
ok,5,gopay,
Sangat simple. Mempermudah transaksi hanya sekali ketukan. Banyak games dan fitur menarik lainnya. Banyak hadiah. Sangat memuaskan. Kuy pakai GoPay sekarang.,5,gopay,sangat simple mudah transaksi sekali ketu banyak games fitur tarik lain banyak hadiah sangat puas pakai sekarang
good job,5,gopay,good
Tidak ada yang sempurna di dunia ini...,4,gopay,sempurna dunia
gopay sih menurut ku yg terbaik semua-muanya murah mulai dari admin token murah yg 20.000 cukup bayar 15.000 best sih menurut ku no neko neko,5,gopay,baik semuamuanya murah mulai admin token murah cukup bayar best neko neko
apk sangat berguna..sya kasih bintang full,5,gopay,sangat bergunasya kasih bintang
baik,5,gopay,baik
senang,4,gopay,senang
sangat membantu dalam transaksi apapun itu,5,gopay,sangat bantu transaksi apa
good👍,5,gopay,good
jelek,1,gopay,jelek
"mantab banget aplikasi ini banyak bonus, terpercaya, sangat membantu pokoknyaa",5,gopay,bagus banget banyak bonus percaya sangat bantu pokok
worth every penny,5,gopay,worth every penny
aplikasi yang sangat membantu dan bagus,5,gopay,sangat bantu bagus
sagat bagus,5,gopay,sagat bagus
top,5,gopay,
susah apgret ke Gopay plus,1,gopay,susah apgret plus
sangat membantu,5,gopay,sangat bantu
bagus sangat membantu,5,gopay,bagus sangat bantu
ktanya walaupun ga pake KTP bisa QRIS tapi kakak sy coba ga bisa tuh pas sy coba juga di akun sy tetep aja g bisa haduhh,3,gopay,ktanya walaupun pakai qris kakak coba coba akun haduh
keren abis,5,gopay,keren habis
"Mantap, lbh tingkat kn lagi keamanan biar ga ada uang hilang bgt saja",5,gopay,bagus tingkat aman biar uang hilang banget
bagus polllllllll,5,gopay,bagus
mantap,5,gopay,bagus
heii gopay perbaiki eror gopay coin tidak masuk ke akun mohon di dengar ini hal yg umum bagi pengguna gopay pet tolong di perbaiki🤗,5,gopay,baik error coin masuk akun mohon dengar umum guna baik
"Yth. Tim Customer ServiceGoPay, Perkenalkan, saya Christian Limardi. Saya sebelumnya pernah mendaftar GoPay Plus menggunakan NIK KTP saya pada akun lama yang kini sudah dihapus permanen. Saat ini saya menggunakan akun GoPay baru, namun tidak dapat upgrade karena NIK tercatat sudah terpakai. Mohon bantuan reset atau pemindahan data verifikasi (KYC) agar NIK saya dapat digunakan kembali. Saya siap melengkapi data pendukung. Terima kasih. Hormat saya, Christian Limardi",1,gopay,customer servicegopay kenal christian limardi belum pernah daftar plus akun lama kini hapus permanen akun baru upgrade catat pakai mohon bantu reset pindah data verifikasi guna siap lengkap data dukung terima kasih hormat christian limardi
kenapa banding saya di tolak?,1,gopay,banding tolak
👍👍👍👍👍,5,gopay,
keren aplikasi ringan buat hp android os 6.0,5,gopay,keren ringan buat android
semoga yg di harapkan transaksi maupun transfer lano,5,gopay,moga harap transaksi maupun transfer lano
sering ada promo murah,5,gopay,sering promo murah
alhamdulillah dah bisa,5,gopay,alhamdulillah
terdepan merdeka,5,gopay,depan merdeka
mantap,5,gopay,bagus
mau bayar Spotify tp ga bisa katanya ada gangguan sampe kapan ya??,2,gopay,bayar spotify kata ganggu sampai kapan
bagus,5,gopay,bagus
Mudah di kontrol dan aman sentosa,5,gopay,mudah kontrol aman sentosa
"Untuk yang baru download harap hati2, ini aplikasi bermasalah cek komen di ig isinya orang komplain masalah transaksi digopay, dan saya isi saldo e-money dari tgl.06 desember 2025 sampai sekarang belum masuk2, laporan cs katanya sudah berhasil, dan akhirnya ketipu sama aplikasi gopay, saat laporan lewat dm ig gopay yg bls AI diputer2. 😂",1,gopay,baru download harap hati masalah komen isi orang komplain masalah transaksi digopay saldo emoney desember sekarang masuk lapor customer service kata hasil akhir tipu sama lapor lewat puter
sangat bagus untuk aplikasi ini dan sangat membatu. 👍👍,5,gopay,sangat bagus sangat batu
"bagus banget, bisa terbantu dengan Gopay.",5,gopay,bagus banget bantu
aplikasiii terbaikk thank youuuuu,5,gopay,baik thank
Sungguh menarik,5,gopay,sungguh tarik
the best,5,gopay,best
Ok,5,gopay,
semoga jaya trus GOPAY,5,gopay,moga jaya
sangat mrmbantu,5,gopay,sangat mrmbantu
top up di BCA tetap kena admin 1000.... usahakan donk gimana cara nya kalo customer betul2 free.....makin keren deh....,5,gopay,tetap kena admin usaha donk cara kalo customer betul freemakin keren
sangat membantu dalam proses pembayaran atau transaksi di saat belanja pokoknya gopay keren.👍👍,5,gopay,sangat bantu proses bayar transaksi belanja pokok keren
hebat,5,gopay,hebat
sangat baik aplikasinya,5,gopay,sangat baik aplikasi
bagus,5,gopay,bagus
kenapa gopay saya gak ada gopay leter nya ya,5,gopay,leter
layanan yang terbaik,5,gopay,layan baik
oke mantap,5,gopay,bagus
top,5,gopay,
sangat membantu sekali,5,gopay,sangat bantu sekali
baik,5,gopay,baik
"gopay fleksibel enak untuk transaksi pembelian pulsa, paket,token PLN pembayaran qris dll",5,gopay,fleksibel enak transaksi beli pulsa pakettoken bayar qris
sedikit ribet,4,gopay,sedikit rumit
keren banget,5,gopay,keren banget
aplikasi yang sangat membantu untuk melakukan pembayaran transaksi transfer dan qris sukses selalu gopay dan buat aku,5,gopay,sangat bantu laku bayar transaksi transfer qris sukses selalu buat
"sangat berguna banget bagi saya yang suka bepergian jauh, dengan aplikasi gopay gampang banget belanja lewat qris",5,gopay,sangat guna banget suka pergi jauh gampang banget belanja lewat qris
sangat bermanfaat,3,gopay,sangat manfaat
sangat baik,5,gopay,sangat baik
sukabanget,5,gopay,sukabanget
ok,5,gopay,
"apk penipu, duit hilang",1,gopay,tipu uang hilang
mantap,5,gopay,bagus
mantap,5,gopay,bagus
bagus,5,gopay,bagus
terbaik,5,gopay,baik
bagus banget,5,gopay,bagus banget
saya tidak bisa gopay pinjam sangat disayangkan,1,gopay,pinjam sangat sayang
mantap apk Kalo diaktifkan pinjaman saldo dana nya,5,gopay,bagus kalo aktif pinjam saldo
Mudah untuk transaksi,5,gopay,mudah transaksi
mantap,5,gopay,bagus
penggunaan aplikasi sangat mudah dan saya puas.,5,gopay,guna sangat mudah puas
bisnis kerja,5,gopay,bisnis kerja
nomor gopay hilang dan pin lupa tapi masi bisa login lewat email tolong gimana solusi untuk mengganti pin gopay tanpa otp,5,gopay,nomor hilang lupa mas login lewat email solusi ganti
bagus,5,gopay,bagus
ok,5,gopay,
semoga sesui harapan,3,gopay,moga sesui harap
bagus,5,gopay,bagus
sangat baik,5,gopay,sangat baik
mantap gak ribet kek aplikasi sebelah,5,gopay,bagus rumit belah
bagus,5,gopay,bagus
"Layanan terburuk, Mastiin transaksi berhasil dan gagal aja 15 Hari. refund transaksi gagal juga dibales 15 H. Drama duit nyangkut!!",1,gopay,layan buruk mastiin transaksi hasil gagal hari refund transaksi gagal dibales drama uang nyangkut
penipu ngapain iklan saya tidak akan pernah menginstal aplikasi gopay selama lamanya muncul di Tik tok YouTube dn tv nyatanya palsu,1,gopay,tipu ngapain iklan pernah menginstal lama lama muncul youtube nyata palsu
mantap,5,gopay,bagus
puas,5,gopay,puas
topss best,5,gopay,tops best
sangat membantu.pembayarran&pengirimam,5,gopay,sangat membantupembayarranpengirimam
okey,5,gopay,bagus
PEMBAYARAN SALDO TANPA PERSETUJUAN sitem apaan yg anda buat !,1,gopay,bayar saldo tuju sitem apa buat
"Sangat mudah ,dan aman 👍👍",5,gopay,sangat mudah aman
Okey,5,gopay,bagus
pembayaran lebih praktis,5,gopay,bayar lebih praktis
ok,5,gopay,
Bagus,5,gopay,bagus
sangat baik,5,gopay,sangat baik
gopay pinjamnya belom bisa d akses padahal udh tahap selanjutnya doang,4,gopay,pinjam akses tahap lanjut doang
memberi kemudahan dalam transaksi,5,gopay,beri mudah transaksi
bagus buat transaksi,5,gopay,bagus buat transaksi
Gopay memang mantap,5,gopay,memang bagus
sangat baik,1,gopay,sangat baik
mudah dan lancar free admin transaksi transfer ke bank lain,5,gopay,mudah lancar admin transaksi transfer bank
gopay pinjamnya gk bermanfaat di tolak,1,gopay,pinjam manfaat tolak
dapat bonus,5,gopay,bonus
mantap,5,gopay,bagus
gopay memang mantap,5,gopay,memang bagus
baik,5,gopay,baik
gampang di gunakan dan banyak diskon nya,5,gopay,gampang guna banyak diskon
bagus,5,gopay,bagus
aplikasi terbaik,5,gopay,baik
gopay memang mantap,5,gopay,memang bagus
terbaik,1,gopay,baik
saat ini kasih bintang 4 karna masih kena biaya admin,4,gopay,kasih bintang kena biaya admin
bagus untuk transaksi,5,gopay,bagus transaksi
bagus,5,gopay,bagus
"apaan ini tiap jam 1 malam pasti aja kalo ngeklaim gopay coins gak di kirim terus, apalagi kalo gopay coins nya 1000 pasti gak di kirim padahal udah ngeklaim",3,gopay,apa tiap malam kalo klaim coins kirim terus kalo coins kirim klaim
selalu ada event' yang menarik,5,gopay,selalu event tarik
good,5,gopay,good
bagus sekali aplikasinya,5,gopay,bagus sekali aplikasi
sangat membantu sekali,5,gopay,sangat bantu sekali
ok,5,gopay,
Verry Professional,5,gopay,verry professional
apk taik gak bisa login 🗿,1,gopay,taik login
suka dengan pelayanan dan rewardnya...banyakin lagi hadiahnya ya,5,gopay,suka layan rewardnyabanyakin hadiah
ok banget,5,gopay,banget
"“Mohon maaf sebelumnya, tadi saya sempat menyampaikan keluhan karena pembelian Diamond belum terkirim. Namun sekarang sudah diterima. Terima kasih, alhamdulillah.”",3,gopay,mohon maaf belum tadi sempat sampai keluh beli diamond kirim sekarang terima terima kasih alhamdulillah
bagus,5,gopay,bagus
baguss,5,gopay,bagus
"terlalu sering gangguan teknis. transaksi jdi sering ke pending. smpe Berjam jam. mohon d perbaiki lgi. e wallet itu hrusnya memudahkan, bukan menambah pusing.",1,gopay,terlalu sering ganggu teknis transaksi sering pending smpe jam mohon baik wallet mudah bukan tambah pusing
oke baik,5,gopay,baik
semangat,5,gopay,semangat
mantap,5,gopay,bagus
senang banget pakai gopay,4,gopay,senang banget pakai
bagus,5,gopay,bagus
sering gangguan dan sering eror,1,gopay,sering ganggu sering error
murmer,5,gopay,murmer
bgus,5,gopay,bagus
puas pakai gopay,4,gopay,puas pakai
oke banget,5,gopay,banget
"sedih.. kucingku dah 1mgu lebih ndk bs dikasi makan karna tdk bs beli makanan... ruby ndk bs kepotg😭😭😭😭😭. .. tolg perbaiki,..",1,gopay,sedih kucing lebih kasi makan beli makan ruby potong tolg baik
ada notifikasi Hadiah untuk pengajuan pinjaman akhir tahun.Jadi sy lunasi meskipun belum Jatuh tempo tgl 15 januari 2025.Setelah melunasi dan melakukan Pinjaman go pay pinjam malah ditolak.Dan ada notifikasi ajukan kembali 26 desember 2026.Aplikasi yg tidak struktural,1,gopay,notifikasi hadiah aju pinjam akhir tahunjadi lunas meski jatuh tempo januari lunas laku pinjam pinjam malah tolak notifikasi aju desember struktural
lebih mudah,5,gopay,lebih mudah
TOP bgt dan berguna,5,gopay,banget guna
Bagus sekali sangat membantu,5,gopay,bagus sekali sangat bantu
min kenapa gopay saya ga bisa buat transaksi,2,gopay,buat transaksi
baik,5,gopay,baik
keren,5,gopay,keren
"semoga bermanfaat dengan adanya gopay,dan bisa saling memberi kemudahan dan keuntungan di dalam bertransaksi 🙏👍",5,gopay,moga manfaat ada gopaydan saling beri mudah untung transaksi
bagus,2,gopay,bagus
ribet,4,gopay,rumit
mantap,5,gopay,bagus
🤝,5,gopay,
apa lah di top up gak masuk dananya,5,gopay,masuk dana
apk sgt berguna praktis.simpel. jamin saldo hilang di ganti,5,gopay,guna praktissimpel jamin saldo hilang ganti
transaksi lancar dan mudah,5,gopay,transaksi lancar mudah
gopay cepat dam mudan dalam peoses transaksi,5,gopay,cepat mud peoses transaksi
"cepat dan muda,☺️",5,gopay,cepat muda
"akun saya ga bisa login sampai sekarang karena kartu yg terdaftar di akun hilang. aturan dibikin dong kak verifikasi wajah , supaya saya bisa login lagi",2,gopay,akun login sekarang kartu daftar akun hilang atur bikin verifikasi wajah login
3 ajah dulu,3,gopay,ajah
ok,5,gopay,
aku suka gopay,4,gopay,suka
